data,Showalterindex,Liftedindex,LIFTcomputedusingvirtualtemperature,Kindex,Crosstotalsindex,Verticaltotalsindex,Totalstotalsindex,ConvectiveAvailablePotentialEnergy,CAPEusingvirtualtemperature,ConvectiveInhibition,CINSusingvirtualtemperature,Temp[K]oftheLiftedCondensationLevel,Pres[hPa]oftheLiftedCondensationLevel,Equivalentpotentialtemp[K]oftheLCL,Meanmixedlayerpotentialtemperature,Meanmixedlayermixingratio,1000hPato500hPathickness,Precipitablewater[mm]forentiresounding,contagem_raios,sim_nao,shear_index,BRNSH_index,shear_0_15000,shear_6000_15000,BRNSH_500_15000,BRNSH_6000_15000,EL,EL (Tv),LFC,LFC (Tv),Prof_cam_convec,Prof_cam_tv
2000-12-20,7.09,3.12,2.56,13.5,13.5,22.5,36.0,0.02,4.97,-84.25,-53.46,285.98,840.43,333.64,300.55,11.22,5725.0,24.06,5,sim,4.09856549914101,4.034497006580704,5.066646407555987,4.966553436943721,6.553093038322896,7.67643171691225,717.03,699.86,725.3,739.13,8.269999999999982,39.26999999999998
2000-12-21,1.77,1.08,0.6,27.5,17.9,26.9,44.8,0.0,0.0,0.0,0.0,283.95,795.01,334.15,303.2,10.37,5738.0,21.81,2290,sim,5.143898562844577,2.172186108185501,7.596196042564486,3.613804631844799,10.791999755109938,7.691866461451436,0.0,0.0,0.0,0.0,0.0,0.0
2000-12-22,-2.11,-1.11,-1.61,34.0,22.2,27.1,49.3,35.09,85.69,-131.38,-100.87,285.4,793.7,339.21,304.88,11.43,5770.0,28.83,2650,sim,8.801334651156859,8.088119150803067,8.2619785336601,16.842372495700555,18.31452356424144,1.640716264343801,437.83,416.71,665.65,684.73,227.82,268.02000000000004
2000-12-23,-0.17,-0.08,-0.39,31.6,20.6,25.5,46.1,36.9,77.12,-97.08,-71.62,284.67,782.12,338.66,305.39,11.06,5764.0,32.23,5666,sim,4.206868194152994,3.514599273743708,10.122297374477547,7.129609257882762,7.876100964270277,1.1838952032846604,478.18,454.88,649.27,677.3,171.08999999999997,222.41999999999996
2000-12-24,1.93,2.03,1.71,29.5,17.1,26.1,43.2,0.0,0.09,0.0,-260.13,286.06,815.32,337.93,303.27,11.65,5780.0,30.88,8268,sim,3.969545506779787,7.459228456281584,9.217182485154806,12.321463954616966,11.324579373876269,3.845675190973802,0.0,590.96,0.0,597.08,0.0,6.1200000000000045
2000-12-26,-0.88,-0.58,-0.7,38.1,20.8,25.7,46.5,86.99,105.5,-103.9,-92.09,287.79,826.25,342.35,303.94,12.86,5777.0,44.15,8866,sim,41.49165354635795,34.03051475907929,56.00460115310063,32.904628594743194,212.3662460886468,112.61298187275598,431.19,429.88,703.22,711.29,272.03000000000003,281.40999999999997
2000-12-27,2.77,2.13,1.95,28.2,18.0,22.9,40.9,0.0,0.0,0.0,0.0,286.03,816.09,337.7,303.14,11.59,5770.0,34.25,2292,sim,6.678865158473897,0.6656775054401995,13.327257835236017,6.690322652238357,11.197500595496397,7.376325235963059,0.0,0.0,0.0,0.0,0.0,0.0
2000-12-28,1.66,0.42,0.24,35.1,19.4,22.7,42.1,26.8,40.35,-105.11,-86.52,288.67,851.75,341.37,302.22,13.21,5764.0,42.32,2344,sim,8.961185855754623,4.315330948090788,12.086667530894069,6.388412110704604,22.813184170841755,7.8547329310833245,450.26,441.8,698.85,704.05,248.59000000000003,262.24999999999994
2000-12-29,1.0,0.85,0.66,34.1,20.4,21.7,42.1,9.66,17.16,-54.14,-42.52,288.76,854.42,341.29,302.05,13.24,5761.0,43.15,856,sim,4.659493731341435,6.256677915188988,9.692832497822534,10.037909344995809,7.614992629414138,0.3359521912992251,587.03,579.31,661.6,677.53,74.57000000000005,98.22000000000003
2000-12-30,-0.56,-0.75,-0.97,36.2,21.1,23.3,44.4,220.49,276.54,-37.54,-29.27,290.54,868.09,345.91,302.54,14.62,5764.0,44.46,6299,sim,8.74548,33.78256673704313,9.25992,6.61633711101427,34.904209761557894,4.12329059347477,378.42,375.98,751.91,771.11,373.48999999999995,395.13
